from_stop_id,to_stop_id,count,min,q1,median,mean,q3,max,from_lat,from_lon,to_lat,to_lon,from_mode,to_mode
27,28,505,3,3,3,3,3,3,33.754553,-84.469302,33.753328,-84.445329,Subway/Metro,Subway/Metro
28,485,505,3,3,3,3,3,3,33.753328,-84.445329,33.756478,-84.41723,Subway/Metro,Subway/Metro
269,485,510,4,4,4,4,4,4,33.772159,-84.428873,33.756478,-84.41723,Subway/Metro,Subway/Metro
39,40,497,3,3,3,3,3,3,33.753247,-84.445568,33.754517,-84.469824,Subway/Metro,Subway/Metro
53,394,508,2,2,2,2,2,2,33.920862,-84.344213,33.910757,-84.35189,Subway/Metro,Subway/Metro
57,112,503,4,4,4,4,4,4,33.823385,-84.369357,33.788828,-84.387272,Subway/Metro,Subway/Metro
999690,112,467,4,4,4,4,4,4,33.823447,-84.369324,33.788828,-84.387272,Subway/Metro,Subway/Metro
58,250,506,3,3,3,3.432806324,4,4,33.823492,-84.369324,33.845388,-84.358235,Subway/Metro,Subway/Metro
61,822,507,2,2,2,2,2,2,33.92113,-84.344268,33.931671,-84.351069,Subway/Metro,Subway/Metro
83,814,506,4,4,4,4.059288538,4,5,33.860329,-84.339245,33.887929,-84.305556,Subway/Metro,Subway/Metro
84,243,503,2,2,3,2.564612326,3,3,33.859989,-84.339397,33.845307,-84.358387,Subway/Metro,Subway/Metro
111,58,506,4,4,4,4.432806324,5,5,33.789669,-84.387414,33.823492,-84.369324,Subway/Metro,Subway/Metro
111,999549,468,4,4,4,4.467948718,5,5,33.789669,-84.387414,33.823501,-84.369313,Subway/Metro,Subway/Metro
112,133,970,1,1,2,1.548453608,2,2,33.788828,-84.387272,33.781247,-84.386342,Subway/Metro,Subway/Metro
133,280,970,1,1,1,1.451546392,2,2,33.781247,-84.386342,33.771472,-84.387258,Subway/Metro,Subway/Metro
134,111,974,1,1,2,1.58110883,2,3,33.781355,-84.386353,33.789669,-84.387414,Subway/Metro,Subway/Metro
185,206,505,3,3,3,3,3,3,33.765241,-84.312937,33.774681,-84.295319,Subway/Metro,Subway/Metro
